x  y
9.769094138543517  47803.33973868108
19.538188277087034  27553.74195827657
28.41918294849023  17080.699150414865
39.07637655417407  11506.628220797222
49.733570159857905  11748.364887704503
59.50266429840142  6842.49434175856
68.38365896980461  5616.110781009307
80.8170515097691  4855.458519936982
89.69804618117229  4111.454470535147
99.46714031971581  3591.7387521645396
109.23623445825933  3170.506648056703
119.89342806394316  2827.92097171606
129.66252220248668  2575.3438017925296
138.54351687388987  2321.0713321562116
149.20071047957373  2113.7636902064783
159.85790408525756  1965.4125487511099
169.62699822380108  1827.473196122032
178.50799289520427  1699.2148974863358
188.2770870337478  1579.9582034727107
199.82238010657193  1515.6080644080153
209.59147424511545  1394.6637919428713
218.47246891651866  1337.860511474592
229.1296625222025  1270.0987008080958
239.78685612788632  1218.3688336234798
249.55595026642985  1132.8595555432828
259.32504440497337  1075.4809169960963
269.98223801065717  1042.4582981417627
280.639431616341  979.4238032936586
290.4085257548846  920.2008254605165
300.1776198934281  891.9460785390172
309.94671403197157  864.5588930253217
320.6039076376554  846.769559178216
330.3730017761989  812.2814703356745
339.25399644760216  771.1399142999694
350.79928952042627  755.272787735222
359.6802841918295  724.511272135812
369.449378330373  717.0186863508695
380.10657193605687  680.7021316337449
389.87566607460036  673.6626012476628
399.64476021314385  639.5420055298563
409.4138543516874  632.9281355684117
418.2948490230906  626.3826634221052
431.6163410301954  607.1495969638693
439.60923623445825  588.5070814052474
450.2664298401421  558.6995603041725
460.0355239786856  558.6995603041725
470.69271758436946  547.2036482516068
480.46181172291296  524.9165834518531
489.3428063943162  514.1157965763266
500  508.79903083728357
509.76909413854355  493.17636733552393
520.4262877442274  478.0333973868108
529.3072824156305  473.0897803918267
539.9644760213143  449.1280744798767
550.6216696269983  453.821300319768
560.3907637655418  449.1280744798767
569.271758436945  435.3376064334934
579.9289520426288  430.83553105239014
590.5861456483126  426.38001420985
599.4671403197158  413.2880248738749
609.2362344582593  404.78412917769475
619.8934280639431  400.5980247941061
630.550621669627  392.35524103577035
639.4316163410302  392.35524103577035
649.2007104795737  372.48268980263106
660.7460035523978  364.8184127075446
669.626998223801  357.3118372855789
679.3960923623446  361.0456166748758
689.1651865008881  349.9597186360866
701.5985790408525  339.2142128625689
711.3676731793961  335.70620451667793
720.2486678507993  335.70620451667793
730.0177619893428  325.3983525933235
740.6749555950266  318.70289208244384
750.4440497335702  325.3983525933235
759.3250444049734  312.1451986840753
769.0941385435169  305.72243767501175
780.6394316163411  305.72243767501175
790.4085257548845  302.5607869474681
801.9538188277087  302.5607869474681
810.8348134991119  293.27066437091844
821.4920071047958  290.23778455867136
830.373001776199  287.236269492623
840.1420959147424  278.4166859010433
849.0230905861457  278.4166859010433
859.6802841918295  267.07704893072093
869.4493783303731  264.31505228931104
879.2184724689165  267.07704893072093
889.8756660746004  258.876453780959
901.4209591474246  256.19926418812145
910.3019538188278  253.5497609453219
920.0710479573712  248.33267118926514
931.6163410301954  245.76452088760814
939.6092362344583  248.33267118926514
951.1545293072825  240.70762176238475
960.0355239786857  233.31669931720185
970.6927175843695  235.75477438828628
980.461811722913  230.90383777601377
990.2309058614564  228.5159290171768
1000  221.4993522403842
