0.00 0.18 1.23   1.38 0.15  1.0e-5  8.86 1.01 1.0e-6
0.18 0.36 1.86   5.09 0.54  1.0e-6  3.24 0.35 1.0e-6
0.36 0.54 2.82   1.86 0.20  1.0e-6  1.16 0.13 1.0e-6
0.54 0.72 4.26   6.54 0.72  1.0e-7  4.00 0.45 1.0e-7
0.72 0.90 6.45   2.17 0.25  1.0e-7  1.30 0.15 1.0e-7
0.90 1.08 9.76   7.26 0.83  1.0e-8  4.10 0.48 1.0e-8
1.08 1.26 14.78  2.43 0.28  1.0e-8  1.33 0.16 1.0e-8
1.26 1.44 22.36  8.34 0.98  1.0e-9  4.25 0.51 1.0e-9
1.44 1.62 33.84  2.86 0.32  1.0e-9  1.42 0.16 1.0e-9
1.62 1.80 51.21  1.01 0.11  1.0e-9  4.88 0.56 1.0e-10
1.80 1.98 77.50  3.46 0.39  1.0e-10 1.61 0.20 1.0e-10
1.98 2.16 117.28 1.26 0.15  1.0e-10 5.76 0.77 1.0e-11
2.16 2.34 177.48 4.62 0.58  1.0e-11 2.09 0.31 1.0e-11
2.34 2.52 268.58 1.48 0.22  1.0e-11 4.61 1.08 1.0e-12
2.52 2.70 406.45 5.95 1.02  1.0e-12 2.67 0.63 1.0e-12
