xx,yy
0.0251785,2.51989
0.0399052,2.01984
0.0632456,1.71149
0.100237,1.51038
0.158866,1.37384
0.251785,1.27828
0.399052,1.20933
0.632456,1.15858
1.00237,1.12074
1.58866,1.09235
2.51785,1.07067
3.99052,1.05401
6.32456,1.04117
10.0237,1.03138
15.8866,1.02381
